fid,OBJECTID,UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,FUENTE_INE,FUENTE_G,Z,XGD,YGD,Y_X_COORD
151752,151752,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,131916,Puerto Almendra,PUERTO ALMENDRA,0,1,IP,1601130004, ,INEI17,MED-GPS,94,-73.37823118,-3.83100579,-77.20923697
151759,151759,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,250751,Corrientillo,CORRIENTILLO,0,0, , , , ,PPD 250000,95,-73.36245739,-3.83624877,-77.19870616
151762,151762,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,311100,San Juan de Yuto,SAN JUAN DE YUTO,0,1,P,1601130009, ,INEI17,MED-GPS,102,-73.54987237,-3.90104792,-77.45092029
151767,151767,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,617859,15 de Abril,15 DE ABRIL,0,1,P,1601130011, ,INEI17,MED-GPS,96,-73.59819757,-3.92109758,-77.51929515
151770,151770,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,115735,Mishana,MISHANA,0,1,IP,1601130008, ,INEI17,MED-GPS,94,-73.49216646,-3.88150894,-77.3736754
151772,151772,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,524983,Santa Cruz,SANTA CRUZ,0,0, , , , ,IGN,92,-73.45467615,-3.8749699,-77.32964605
151774,151774,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,245835,Sant,SANT,0,0, , , , ,IGN,99,-73.45334715,-3.8690204,-77.32236755
151775,151775,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,525945,Aguas Negras,AGUAS NEGRAS,0,0, , , , ,IGN,100,-73.40722589,-3.86581302,-77.27303891
151776,151776,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,120620,Nina Rumi,NINA RUMI,0,1,IPS,1601130005, ,INEI17,MED-GPS,92,-73.38648037,-3.84512812,-77.23160849
151783,151783,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,215166,Paña,PAÑA,0,0, , , , ,IGN,95,-73.42879565,-3.85854839,-77.28734404
151784,151784,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,121353,Llanchama,LLANCHAMA,0,1,IPS,1601130006, ,INEI17,MED-GPS,90,-73.40921615,-3.85797192,-77.26718807
151785,151785,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,131168,Supaypoza,SUPAYPOZA,0,0, , , , ,IGN,91,-73.4609699,-3.85763827,-77.31860817
151788,151788,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,549372,Puñuisique,PUÑUISIQUE,0,0, , , , ,IGN,95,-73.41464289,-3.85523665,-77.26987954
151792,151792,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,624381,5 de Junio,5 DE JUNIO,0,1,P,1601130020, ,INEI17,MED-GPS,94,-73.39317678,-4.00354485,-77.39672163
151793,151793,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,526922,Palo Seco,PALO SECO,0,1,P,1601130021, ,INEI17,MED-GPS,96,-73.37134055,-4.00353959,-77.37488014
151798,151798,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,617817,3 de Octubre,3 DE OCTUBRE,0,1,IP, , , ,MED-GPS,95,-73.36160172,-3.96668812,-77.32828984
151800,151800,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,623659,Soledad,SOLEDAD,0,1,IP, , , ,MED-GPS,110,-73.36112545,-3.98261313,-77.34373858
151802,151802,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,617764,Belen de Juda,BELEN DE JUDA,0,1,P, , , ,MED-GPS,107,-73.38427421,-3.97831008,-77.36258429
151824,151824,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,652548,Angel Cardenas Haya II Zona,ANGEL CARDENAS HAYA II ZONA,0,1,GP,1601130074, ,INEI17,MED-GPS,101,-73.42695388,-4.07101515,-77.49796903
151826,151826,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,652681,11 de Agosto,11 DE AGOSTO,0,1,P, , ,INEI13,MED-GPS,130,-73.48351713,-4.12183549,-77.60535262
151828,151828,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,573317,Creacion 2000,CREACION 2000,0,1,P,1601130077, ,INEI17,MED-GPS,101,-73.39555055,-4.0831959,-77.47874645
151829,151829,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,560386,Porvenir,PORVENIR,0,1,P, , , ,MED-GPS,94,-73.55697379,-3.90011748,-77.45709127
151831,151831,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,653710,Angel Cardenas Haya I Zona,ANGEL CARDENAS HAYA I ZONA,0,1,GP, , , ,MED-GPS,107,-73.42725437,-4.04977897,-77.47703334
151832,151832,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,614857,San Lucas,SAN LUCAS,0,1,IP,1601130045, ,INEI17,MED-GPS,99,-73.45425593,-4.10327409,-77.55753002
151833,151833,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,625173,Ex Petroleros I Zona,EX PETROLEROS I ZONA,0,1,IPS,1601130037, ,INEI17,MED-GPS,97,-73.45320074,-4.09183465,-77.54503539
151834,151834,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,613260,Nuevo Horizonte,NUEVO HORIZONTE,0,1,IPS,1601130033, ,INEI17,MED-GPS,106,-73.44612307,-4.07150914,-77.51763221
151835,151835,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,621391,Paujil Zona 1,PAUJIL ZONA 1,0,1,IP,1601130032,1601130030,INEI17,MED-GPS,111,-73.43779829,-4.04225443,-77.48005272
151836,151836,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,624890,13 de Febrero,13 DE FEBRERO,0,1,IPS,1601130031, ,INEI17,MED-GPS,124,-73.43294795,-4.02103626,-77.45398421
151837,151837,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,612201,San Jose,SAN JOSE,0,1,IP,1601130026, ,INEI17,MED-GPS,125,-73.39179954,-3.93204651,-77.32384605
151838,151838,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,115984,Varillal,VARILLAL,0,1,IPS,1601130024, ,INEI17,MED-GPS,118,-73.35390623,-3.8896413,-77.24354753
151839,151839,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,621528,El Dorado,EL DORADO,0,1,IP,1601130028, ,INEI17,MED-GPS,132,-73.40452348,-3.95367547,-77.35819895
151840,151840,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654864,Yarana,YARANA,0,0, ,1601130072, ,INEI17,INEI,109,-73.497335,-3.967816667,-77.46515167
151841,151841,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654894,Santa Catalina,SANTA CATALINA,0,0, ,1601130088, ,INEI17,INEI,130,-73.48356249,-4.121844147,-77.60540664
151842,151842,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654895,San Juan de Pintuyacu,SAN JUAN DE PINTUYACU,0,1,P, , ,INEI17,INEI,117,-73.50329167,-4.086878334,-77.59017
151843,151843,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,654928,24 de Octubre,24 DE OCTUBRE,0,0, , , ,INEI17,INEI,121,-73.501505,-4.02927,-77.530775
151844,151844,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,548480,Tamagshi,TAMAGSHI,0,0, , , , ,IGN,114,-73.41228614,-3.87075677,-77.28304291
151845,151845,160113,LORETO,MAYNAS,SAN JUAN BAUTISTA,125706,Esperanza,ESPERANZA,0,0, , , , ,IGN,90,-73.3972299,-3.84360615,-77.24083605
