cp,year,Deforestation,ruta,class,Nigth_light
CALIPSO,2020,1.253926,Iquitos-Nauta,new,1.6722667
CALIPSO,2021,0,Iquitos-Nauta,new,1.96735
SHUSHUNA,2015,5.3497843,Iquitos-Nauta,new,2.2053218
SHUSHUNA,2016,4.37405,Iquitos-Nauta,new,2.3062994
SHUSHUNA,2017,2.7233892,Iquitos-Nauta,new,2.9759316
SHUSHUNA,2018,2.085837,Iquitos-Nauta,new,2.9148179
SHUSHUNA,2019,1.5405315,Iquitos-Nauta,new,2.7874519
SHUSHUNA,2020,0.8336378,Iquitos-Nauta,new,3.1487686
SHUSHUNA,2021,0,Iquitos-Nauta,new,3.6344207
SANTO TOMAS,2015,4.0735844,Santa Clara - Santo Tomas,old,3.3380302
SANTO TOMAS,2016,3.4534504,Santa Clara - Santo Tomas,old,3.4830649
SANTO TOMAS,2017,2.1597426,Santa Clara - Santo Tomas,old,4.0985407
SANTO TOMAS,2018,1.5843885,Santa Clara - Santo Tomas,old,3.824171
SANTO TOMAS,2019,1.2110143,Santa Clara - Santo Tomas,old,3.8080225
SANTO TOMAS,2020,0.7382842,Santa Clara - Santo Tomas,old,4.2620392
SANTO TOMAS,2021,0,Santa Clara - Santo Tomas,old,4.6623356
SANTA CLARA,2015,4.3722731,Santa Clara - Santo Tomas,old,3.5074581
SANTA CLARA,2016,3.7177078,Santa Clara - Santo Tomas,old,3.6990277
SANTA CLARA,2017,2.3569297,Santa Clara - Santo Tomas,old,4.3296589
SANTA CLARA,2018,1.7980426,Santa Clara - Santo Tomas,old,3.9248838
SANTA CLARA,2019,1.3386976,Santa Clara - Santo Tomas,old,3.9629966
SANTA CLARA,2020,0.7547256,Santa Clara - Santo Tomas,old,4.3900856
SANTA CLARA,2021,0,Santa Clara - Santo Tomas,old,4.7883312
RUMOCOCHA,2015,3.9398556,Santa Clara - Santo Tomas,old,7.3290631
RUMOCOCHA,2016,3.336185,Santa Clara - Santo Tomas,old,7.842746
RUMOCOCHA,2017,2.0957054,Santa Clara - Santo Tomas,old,8.7184741
RUMOCOCHA,2018,1.5551077,Santa Clara - Santo Tomas,old,7.7115444
RUMOCOCHA,2019,1.1663748,Santa Clara - Santo Tomas,old,7.6836535
RUMOCOCHA,2020,0.667998,Santa Clara - Santo Tomas,old,8.5924619
RUMOCOCHA,2021,0,Santa Clara - Santo Tomas,old,9.5938907
GEDEONES,2015,3.9409867,Santa Clara - Santo Tomas,new,1.5505388
GEDEONES,2016,3.3902497,Santa Clara - Santo Tomas,new,1.6024494
